Sample	Wells	mean_time_to_inflection	SD_time_to_inflection	N	Rep_1	Rep_2	Rep_3	Rep_4
3415 CTRL	A10	3.7534383595899	NA	1	3.7534383595899	NA	NA	NA
3415 CTRL e5	B10	4.24637409352338	NA	1	4.24637409352338	NA	NA	NA
3415 e6	G10, H10, A11, B11	3.62278069517379	0.720063632804016	4	4.24637409352338	4.24637409352338	2.99918729682421	2.99918729682421
3415 e7	A12, B12	1.75200050012503	0	2	1.75200050012503	1.75200050012503	NA	NA
4501 CTRL e5	C10, D10	3.7504688672168	0.00419949638739216	2	3.7534383595899	3.74749937484371	NA	NA
4501 e6	C11, D11, G11, H11	3.62426544136034	0.718353287307012	4	3.00512628157039	2.99918729682421	4.24637409352338	4.24637409352338
4501 e7	C12, D12	1.75200050012503	0	2	1.75200050012503	1.75200050012503	NA	NA
4653 CTRL e5	E10, F10	4.25231307826957	0	2	4.25231307826957	4.25231307826957	NA	NA
4653 e6	E11, F11	3.74749937484371	0	2	3.74749937484371	3.74749937484371	NA	NA
4653 e7	E12, F12, G12, H12	2.87595336334084	1.31333836384209	4	1.75200050012503	1.75200050012503	4.24637409352338	3.7534383595899
Asterion CTRL	H3	24	NA	1	24	NA	NA	NA
Asterion:3415	A7, A8, A9	3.74947903642577	0.00342887444192404	3	3.74749937484371	3.7534383595899	3.74749937484371	NA
Asterion:4501	C7, C8, C9	3.74947903642577	0.00342887444192404	3	3.74749937484371	3.74749937484371	3.7534383595899	NA
Asterion:4653	E7, E8, E9	4.25231307826957	0	3	4.25231307826957	4.25231307826957	4.25231307826957	NA
Bestiario CTRL	H1	24	NA	1	24	NA	NA	NA
Bestiario:3415	A1, A2, A3	24	0	3	24	24	24	NA
Bestiario:4501	C1, C2, C3	24	0	3	24	24	24	NA
Bestiario:4653	E1, E2, E3	24	0	3	24	24	24	NA
Cronopio CTRL	H2	24	NA	1	24	NA	NA	NA
Cronopio:3415	A4, A5, A6	4.16520796865883	0.72349250724594	3	5.00062515628907	3.74749937484371	3.74749937484371	NA
Cronopio:4501	C4, C5, C6	4.16520796865883	0.72349250724594	3	5.00062515628907	3.74749937484371	3.74749937484371	NA
Cronopio:4653	E4, E5, E6	4.91747936984246	1.15210181248643	3	6.24781195298825	4.25231307826957	4.25231307826957	NA
MC	G1, G2, G3	24	0	3	24	24	24	NA
Roth32 CTRL	H4	24	NA	1	24	NA	NA	NA
Roth32:3415	B1, B2, B3	11.1672709844128	0.63049346618336	3	10.5001250312578	11.7532508127032	11.2484371092773	NA
Roth32:4501	D1, D2, D3	20.000708510461	5.1072545298786	3	14.2476244061015	21.7545011252813	24	NA
Roth32:4653	F1, F2, F3	5.74893723430858	0	3	5.74893723430858	5.74893723430858	5.74893723430858	NA
Roth76 CTRL	H5	24	NA	1	24	NA	NA	NA
Roth76:3415	B4, B5, B6	11.5829999166458	0.289755106841411	3	11.7532508127032	11.2484371092773	11.747311827957	NA
Roth76:4501	D4, D5, D6	11.5829999166458	2.42593048508508	3	14.2476244061015	10.9989997499375	9.50237559389848	NA
Roth76:4653	F4, F5, F6	5.08179128115362	1.03944675900519	3	6.24781195298825	4.74524881220305	4.25231307826957	NA
Roth80 CTRL	H6	24	NA	1	24	NA	NA	NA
Roth80:3415	B7, B8, B9	3.7534383595899	0	3	3.7534383595899	3.7534383595899	3.7534383595899	NA
Roth80:4501	D7, D8, D9	3.915770609319	0.286326414623263	3	3.74749937484371	4.24637409352338	3.7534383595899	NA
Roth80:4653	F7, F8, F9	4.25231307826957	0	3	4.25231307826957	4.25231307826957	4.25231307826957	NA
