Sample	Wells	mean_time_to_inflection	SD_time_to_inflection	N	Rep_1	Rep_2	Rep_3
AB1	E1, E2, E3	4.24835375510544	0.00342887444192378	3	4.24637409352338	4.24637409352338	4.25231307826957
AB2	E4, E5, E6	4.2503334166875	0.00342887444192378	3	4.25231307826957	4.25231307826957	4.24637409352338
AB3	E7, E8, E9	4.41464532799867	0.286326414623263	3	4.24637409352338	4.25231307826957	4.74524881220305
CA1	G1, G2, G3	24	0	3	24	24	24
CA2	G4, G5, G6	24	0	3	24	24	24
CA3	G7, G8, G9	24	0	3	24	24	24
Control1	A10, B10	4.24637409352338	0	2	4.24637409352338	4.24637409352338	NA
Control2	D10, E10	4.5017504376094	0.352757696540926	2	4.25231307826957	4.75118779694924	NA
DA1	H1, H2, H3	24	0	3	24	24	24
DA2	H4, H5, H6	24	0	3	24	24	24
DA3	H7, H8, H9	24	0	3	24	24	24
FA1	A4, A5, A6	3.91775027090106	0.284596578679682	3	3.7534383595899	3.7534383595899	4.24637409352338
FA2	A7, A8, A9	4.24637409352338	0	3	4.24637409352338	4.24637409352338	4.24637409352338
FA3	B1, B2, B3	4.08206218221222	0.284596578679682	3	4.24637409352338	3.7534383595899	4.24637409352338
FA4	B4, B5, B6	6.66552054680337	0.286326414623263	3	6.50318829707427	6.49724931232808	6.99612403100775
FA5	B7, B8, B9	11.8344169375677	1.00980788927608	3	11.2543760940235	11.2484371092773	13.0004376094024
FA6	D1, D2, D3	13.7489372343086	8.88556180616264	3	24	8.24924981245311	8.99756189047262
FA7	D4, D5, D6	4.24637409352338	0	3	4.24637409352338	4.24637409352338	4.24637409352338
FA8	D7, D8, D9	4.24835375510544	0.00342887444192378	3	4.24637409352338	4.24637409352338	4.25231307826957
luz	A1, A2, A3	3.91775027090106	0.284596578679682	3	3.7534383595899	4.24637409352338	3.7534383595899
